id,full_name,first_name,last_name,email,phone,country,city,age,gender,membership_years,login_frequency,session_duration_avg,pages_per_session,cart_abandonment_rate,wishlist_items,total_purchases,average_order_value,days_since_last_purchase,discount_usage_rate,returns_rate,email_open_rate,customer_service_calls,product_reviews_written,social_media_engagement_score,mobile_app_usage,payment_method_diversity,lifetime_value,credit_balance,churned,signup_quarter
18,Timothy Jones,Madeline,Hughes,thomasjennifer@example.net,0869858543,France,Nice,50,Female,2.0,10.0,20.4,5.2,71.6,1.0,7.0,136.64,19.0,73.3,9.7,3.7,5.0,0.0,16.9,4.0,1.0,974.78,2967.0,1,Q2
19,Tommy Ward,Brady,Nelson,zhenson@example.com,0724238288,USA,New York,60,Female,2.9,0.0,25.5,9.6,73.1,3.0,9.0,207.36,2.0,2.8,5.4,19.8,9.0,2.0,19.6,10.5,2.0,1989.39,2651.0,1,Q3
20,Brittney Cook,Erin,Chen,bwalsh@example.com,0565929670,Canada,Toronto,32,Male,4.8,6.0,18.3,1.9,78.4,4.0,6.0,117.72,6.0,35.7,5.6,14.9,7.0,2.0,28.8,18.0,2.0,779.87,1516.0,0,Q2
21,John Johnson MD,Stephen,Vega,shawngiles@example.org,0872248281,India,Chennai,43,Male,4.2,11.0,23.0,9.2,73.4,2.0,9.0,121.76,3.0,45.9,6.8,11.4,8.0,0.0,24.1,20.9,1.0,1305.36,3063.0,0,Q3
22,Nicole Vaughn,Jesse,Owens,nrichards@example.com,0994914468,USA,Chicago,18,Female,5.9,2.0,11.2,3.0,71.0,0.0,8.0,151.37,2.0,47.0,10.2,0.0,6.0,0.0,0.0,4.8,2.0,1132.73,0.0,1,Q1
23,Bryan Hamilton,Timothy,Schmidt,aguilardaniel@example.org,0905142910,France,Marseille,18,Male,1.1,17.0,26.4,6.6,64.5,4.0,8.0,92.11,6.0,37.9,2.7,10.4,4.0,1.0,51.2,28.1,1.0,715.29,2942.0,0,Q1
24,Lindsey Gibbs,Thomas,Stokes,carrandrew@example.org,0907392314,USA,Los Angeles,18,Male,2.7,18.0,15.6,7.3,43.4,3.0,9.0,158.81,63.0,66.6,1.4,24.3,8.0,2.0,39.0,19.9,3.0,1448.32,1772.0,0,Q3
25,Ashley Ruiz,Michael,Bowen,murillojack@example.com,0700714880,UK,Leeds,47,Female,5.4,17.0,29.8,9.7,43.0,6.0,12.0,113.23,79.0,62.7,1.4,22.2,5.0,6.0,48.5,15.1,2.0,1194.13,3173.0,0,Q1
26,Michael Schwartz,Betty,Kline,kaylalee@example.net,0867197113,Australia,Adelaide,49,Female,1.5,8.0,21.2,6.4,57.4,3.0,11.0,61.37,19.0,19.7,15.2,11.8,8.0,1.0,20.3,14.6,2.0,756.73,1069.0,0,Q3
27,Oscar Jordan,Leslie,Bennett,lozanolatasha@example.net,0551315249,USA,Chicago,42,Male,3.2,21.0,31.6,12.6,35.5,11.0,14.0,107.56,85.0,34.6,4.9,42.3,3.0,4.0,64.0,25.5,2.0,1285.01,3868.0,0,Q2
28,Scott Rivera,Clinton,Pearson,williamswilliam@example.com,0398678328,Canada,Toronto,38,Other,0.5,10.0,42.1,11.8,48.7,7.0,17.0,116.42,5.0,27.4,18.2,5.5,6.0,6.0,27.4,24.4,1.0,218.76,4039.0,1,Q2
29,Christopher Garcia,Daniel,Kennedy,ashley62@example.org,0963212584,Canada,Vancouver,34,Male,5.0,2.0,27.7,2.0,71.9,0.0,11.0,65.32,14.0,46.4,7.8,4.4,2.0,1.0,26.5,17.2,4.0,692.85,1965.0,0,Q3
30,Joanna Robinson,Kara,Vazquez,charles23@example.com,0376615485,Japan,Kyoto,43,Female,2.0,10.0,23.8,7.8,54.7,1.0,9.0,113.71,1.0,27.6,2.7,5.2,6.0,0.0,9.2,15.9,2.0,854.59,94.0,0,Q1
31,Gary Hall,Thomas,Hamilton,slane@example.net,0738623168,USA,Houston,25,Female,6.5,14.0,33.1,8.9,55.9,3.0,11.0,104.27,20.0,26.3,3.5,18.5,9.0,5.0,24.3,29.6,1.0,1106.37,2053.0,0,Q3
32,Anna Hernandez,Alexander,Miller,copelandbailey@example.org,0300667685,USA,Chicago,39,Female,7.6,2.0,16.2,5.7,68.3,1.0,6.0,79.41,1.0,26.3,7.2,6.1,11.0,3.0,33.0,12.7,4.0,55.82,2519.0,0,Q3
33,Nancy Carney,Robert,Figueroa,jacobsjerry@example.com,0933736100,USA,New York,26,Female,1.4,11.0,9.0,1.2,57.0,2.0,8.0,106.85,77.0,41.2,2.9,27.8,6.0,3.0,0.0,12.6,2.0,1022.19,3227.0,0,Q3
34,Allison Vincent,Lauren,Turner,michellerhodes@example.org,0874203244,UK,Birmingham,47,Male,2.2,12.0,12.2,6.0,81.7,4.0,13.0,178.17,48.0,25.6,9.0,10.6,11.0,1.0,14.2,10.8,2.0,2298.67,0.0,1,Q3
35,Jeffrey Salazar,Jean,Sherman,xhutchinson@example.com,0753214716,Canada,Toronto,36,Male,2.4,23.0,34.8,14.0,34.7,9.0,17.0,75.69,39.0,29.6,9.2,25.7,5.0,4.0,30.9,30.9,1.0,1032.18,2547.0,0,Q3
36,Susan Jacobson,Richard,Dickson,briangill@example.org,0540496601,Germany,Hamburg,47,Male,2.6,9.0,16.2,5.9,67.0,2.0,6.0,120.48,26.0,49.7,10.0,9.6,7.0,4.0,2.8,10.5,5.0,721.78,2143.0,0,Q2
37,Lisa Francis,Shane,Ford,mcdowellcatherine@example.com,0865153524,USA,Houston,43,Male,5.0,0.0,24.4,6.1,79.9,3.0,5.0,126.21,10.0,27.4,3.6,15.4,5.0,1.0,11.1,11.4,1.0,575.48,864.0,0,Q1
38,Randall Martinez,Phillip,West,yvettenelson@example.com,0838916167,Germany,Cologne,46,Male,3.0,11.0,18.1,9.9,66.1,2.0,12.0,103.09,43.0,22.7,3.7,24.6,6.0,3.0,9.4,21.4,2.0,1015.24,1277.0,0,Q1
39,Hannah West,Candice,Sullivan,etucker@example.com,0509735560,UK,Leeds,31,Female,1.1,22.0,46.5,13.2,22.1,12.0,20.0,105.72,50.0,51.4,9.9,49.2,7.0,8.0,61.7,39.1,4.0,1766.95,3112.0,0,Q3
40,Charles Dunlap,Tina,Mullen,susanrodriguez@example.org,0583508420,Canada,Calgary,37,Female,0.9,18.0,26.4,8.5,44.0,4.0,14.0,124.96,2.0,24.8,0.8,30.0,4.0,2.0,34.5,23.4,4.0,1507.58,2042.0,0,Q3
41,Adrian Cook,Alexander,Clarke,ocobb@example.com,0712229169,Australia,Adelaide,52,Female,2.7,12.0,33.5,7.9,40.3,3.0,13.0,108.21,3.0,2.7,5.7,31.3,5.0,6.0,57.3,24.0,2.0,161.07,3104.0,0,Q2
42,Garrett Fuller,Christopher,Murphy,andrewfoley@example.org,0555107398,UK,London,38,Male,2.1,15.0,38.5,9.2,40.4,7.0,13.0,68.29,4.0,26.4,12.2,12.9,5.0,3.0,43.1,23.1,5.0,746.38,2002.0,0,Q1
43,Billy Johnson,Leslie,Ramirez,raymond15@example.org,0892669539,France,Nice,66,Male,5.2,0.0,14.7,4.3,64.5,2.0,6.0,157.41,27.0,27.0,1.5,11.4,6.0,1.0,10.6,4.2,1.0,979.93,1455.0,0,Q3
44,Mr. William Cole,Thomas,Smith,johnsonjames@example.net,0597524928,Canada,Ottawa,37,Female,2.3,15.0,23.2,7.9,50.6,3.0,9.0,84.49,1.0,31.2,3.0,17.3,2.0,2.0,12.6,23.0,3.0,868.98,2393.0,0,Q1
45,Sean Williams PhD,Robert,Watson,brian03@example.net,0765728821,USA,New York,45,Female,2.9,4.0,14.4,3.2,76.3,5.0,6.0,89.95,35.0,25.4,2.9,12.5,7.0,1.0,0.0,12.4,4.0,644.98,1626.0,0,Q2
46,Keith Hernandez,Kimberly,Quinn,avilajames@example.org,0390885445,UK,Manchester,43,Male,5.4,9.0,36.7,10.3,55.5,5.0,12.0,95.68,29.0,18.6,0.4,36.6,6.0,5.0,49.8,19.0,2.0,918.96,2223.0,0,Q2
47,Karen Pacheco,Joseph,Torres,valenciakristina@example.com,0522269761,India,Mumbai,22,Female,2.9,24.0,50.3,18.5,42.2,11.0,25.0,118.47,19.0,27.8,4.7,30.9,2.0,7.0,70.5,37.1,1.0,2720.84,2288.0,1,Q2
48,William Murray,Jennifer,Rivas,brianna36@example.com,0939859049,Canada,Ottawa,27,Male,2.1,3.0,7.8,5.5,81.1,0.0,1.0,90.25,55.0,29.9,6.5,4.8,6.0,0.0,13.1,4.3,1.0,77.88,1779.0,1,Q2
49,Stacie Humphrey,Sheila,Jackson,davisjohn@example.org,0751654689,Germany,Cologne,43,Female,2.1,0.0,8.0,1.0,71.0,2.0,7.0,164.95,30.0,27.2,7.1,3.2,7.0,0.0,5.9,15.5,3.0,1336.23,225.0,1,Q2
50,Ronald Carr,Courtney,Espinoza,christinaherrera@example.org,0803119543,Germany,Frankfurt,33,Male,1.3,8.0,29.0,9.7,46.3,2.0,9.0,134.28,0.0,70.5,12.0,15.0,7.0,4.0,47.8,14.4,3.0,1115.28,2234.0,0,Q1
51,Herbert Campbell,Valerie,Wolf,mary12@example.com,0904051034,USA,Chicago,36,Male,7.1,0.0,26.1,3.9,60.7,5.0,7.0,149.31,8.0,39.5,5.1,2.1,9.0,2.0,5.0,13.3,1.0,1063.94,51.0,0,Q1
52,Dr. Erin Santiago MD,Joseph,Aguilar,jasminewilson@example.org,0342486661,India,Bangalore,54,Female,1.1,3.0,27.8,10.0,64.0,1.0,9.0,82.31,30.0,20.2,2.7,13.0,5.0,1.0,0.0,19.0,3.0,795.48,1211.0,0,Q1
53,Kenneth Hernandez,Joseph,Yates,sarah68@example.net,0749670946,UK,Birmingham,56,Male,4.7,13.0,31.9,4.3,48.4,5.0,13.0,95.44,23.0,40.3,7.0,6.9,4.0,4.0,24.3,16.2,1.0,124.4,885.0,0,Q2
54,Amy Reese,Karen,Hall,laura32@example.com,0951426101,USA,Phoenix,47,Female,3.6,10.0,26.2,10.7,48.7,4.0,11.0,83.65,46.0,32.5,11.9,25.9,5.0,2.0,23.4,14.8,4.0,757.15,2243.0,0,Q3
55,Mary Sanchez,Brady,Johnson,browncynthia@example.org,0766816493,Germany,Cologne,45,Male,3.6,22.0,43.5,17.7,42.2,8.0,22.0,81.39,16.0,49.0,5.0,54.2,4.0,4.0,75.1,44.1,1.0,1438.24,3297.0,0,Q2
56,Joanna Singh,Lynn,Harvey,ojones@example.net,0560444859,Japan,Nagoya,49,Male,2.5,7.0,40.4,15.8,37.2,10.0,19.0,85.48,8.0,48.0,6.9,30.1,4.0,6.0,55.0,28.8,5.0,1432.61,3536.0,0,Q1
57,Elizabeth Johns,William,Fernandez,dperry@example.com,0764845597,USA,Houston,35,Female,4.3,10.0,23.8,4.1,64.9,5.0,7.0,119.54,6.0,45.6,2.9,2.0,7.0,3.0,25.1,11.9,1.0,679.41,2041.0,0,Q1
58,Derrick Liu,Patricia,Burgess,bphelps@example.net,0514499763,France,Paris,47,Male,2.0,1.0,14.6,5.5,54.8,3.0,13.0,80.94,30.0,37.2,9.4,2.2,4.0,1.0,15.5,17.2,2.0,950.39,2442.0,0,Q1
59,Evelyn Wallace,Victoria,Peterson,nhowe@example.org,0335907461,USA,Chicago,32,Male,1.7,13.0,36.6,8.5,68.3,1.0,9.0,137.55,48.0,65.2,1.4,2.4,8.0,0.0,45.7,17.5,2.0,1477.33,1453.0,0,Q1
60,Andrew Arias,Christopher,Salinas,yspears@example.com,0886558296,Germany,Berlin,36,Female,2.9,0.0,20.4,4.4,73.5,2.0,2.6,80.47,18.0,36.6,0.8,0.2,6.0,1.0,0.0,7.6,2.0,134.99,0.0,1,Q4
61,Nancy Christensen,Ian,Brown,francis19@example.org,0873735943,Japan,Tokyo,23,Female,1.2,3.0,15.9,4.5,69.2,1.0,10.0,94.78,6.0,39.4,2.3,0.0,7.0,1.0,15.8,13.7,3.0,863.34,1804.0,0,Q3
62,Jason Escobar,Stephen,Mcdowell,groberts@example.net,0955468061,UK,London,49,Female,0.5,15.0,35.3,10.6,48.4,9.0,13.0,13.12,24.0,30.4,0.9,25.3,9.0,3.0,14.7,20.9,2.0,1580.75,1970.0,0,Q1
63,Toni Bass,Veronica,Johnson,lewisjames@example.net,0883519904,India,Mumbai,43,Female,5.0,15.0,22.6,8.0,56.4,3.0,13.0,88.72,33.0,18.6,1.7,13.2,2.0,2.0,24.7,22.7,2.0,107.72,1430.0,0,Q2
64,Amber Macdonald,Joel,Snyder,psharp@example.com,0703347689,USA,New York,43,Female,1.8,18.0,26.5,5.2,53.7,4.0,12.0,145.78,62.0,31.6,5.8,25.0,10.0,0.0,17.6,12.4,1.0,1417.67,3228.0,0,Q3
65,Jonathan Mann,Kimberly,Stephens,mwilliams@example.org,0982543021,UK,Birmingham,35,Female,6.1,15.0,31.4,11.3,56.3,6.0,11.0,137.48,46.0,20.1,8.7,33.6,6.0,3.0,15.8,29.0,1.0,1292.92,3053.0,1,Q2
66,John Freeman,Ann,Church,schneidersarah@example.net,0808202412,UK,London,18,Female,5.6,6.0,27.9,6.7,65.1,7.0,11.0,5.81,10.0,39.0,3.9,10.8,6.0,3.0,49.8,21.8,2.0,710.83,1737.0,0,Q3
67,Douglas Kelley,Melinda,Villegas,carloswilliams@example.net,0508609688,USA,Los Angeles,50,Male,0.9,13.0,34.7,11.2,32.4,3.0,11.0,100.16,12.0,47.1,0.7,8.0,4.0,4.0,41.3,15.6,3.0,1116.36,1451.0,0,Q2
68,Gregory Randall IV,Patricia,Rodgers,amandathomas@example.com,0808931394,USA,Los Angeles,58,Male,1.9,17.0,29.8,8.7,61.2,5.0,13.0,74.66,5.0,13.0,8.4,40.0,4.0,4.0,49.5,29.3,2.0,788.64,3319.0,0,Q3
69,Jennifer Romero,Daniel,Ford,crawforddeanna@example.net,0528957040,UK,Birmingham,51,Male,1.5,20.0,28.9,14.6,32.9,10.0,16.0,73.78,22.0,73.7,16.3,39.9,5.0,5.0,30.4,28.0,2.0,1153.62,3175.0,0,Q3
70,Anthony Scott,Patrick,Knight,kevinbrandt@example.net,0897312967,India,Chennai,28,Female,0.4,2.0,26.0,8.5,68.5,1.0,9.0,12.62,30.0,52.1,7.2,9.4,10.0,2.0,23.8,16.2,3.0,947.15,207.0,0,Q1
71,Tara Lewis,Seth,Flynn,melendezevan@example.net,0852883574,USA,New York,51,Female,1.6,15.0,24.8,10.5,58.4,4.0,14.0,14.9,6.0,37.2,3.4,33.0,3.0,3.0,14.9,26.3,4.0,2399.11,3605.0,0,Q3
72,Sharon Russell,Cristian,Flores,bzamora@example.com,0752867983,USA,Houston,23,Male,1.3,2.0,15.7,5.2,52.5,6.0,8.0,95.94,14.0,58.6,4.7,18.6,6.0,1.0,13.9,7.7,4.0,905.04,547.0,0,Q1
73,Misty Mccormick,John,Brown,hbarajas@example.net,0789999532,USA,Houston,52,Male,4.3,3.0,10.6,2.4,84.8,1.0,2.0,93.87,19.0,4.5,13.1,1.9,10.0,1.0,1.6,11.9,1.0,178.53,3314.0,1,Q2
74,Dennis Richardson,Andrea,Smith,davidmitchell@example.org,0354900652,India,Mumbai,34,Female,3.8,3.0,10.7,5.5,74.6,0.0,3.0,115.77,76.0,88.7,5.0,0.0,8.0,0.0,0.0,0.0,4.0,27.91,0.0,1,Q3
75,Mr. Vincent Ramos,Frank,Garcia,merrittalvin@example.net,0964897029,USA,Los Angeles,33,Male,2.5,2.0,16.0,7.3,73.1,0.0,9.0,133.59,12.0,54.5,12.4,24.7,5.0,2.0,8.7,13.5,3.0,1260.21,91.0,0,Q1
76,Melissa Bauer,Ashley,Knapp,murphychristopher@example.org,0994745579,UK,Birmingham,36,Female,4.6,10.0,26.0,4.1,50.0,6.0,13.0,122.21,19.0,61.0,5.0,16.1,2.0,2.0,0.0,24.4,3.0,1861.46,1778.0,0,Q1
77,Matthew Smith,Felicia,Alvarez,craig46@example.com,0510873703,India,Hyderabad,20,Female,3.4,7.0,17.9,4.3,60.0,2.0,10.0,125.49,37.0,75.7,11.1,25.2,8.0,1.0,23.4,23.9,1.0,1105.38,1600.0,0,Q3
78,Robert Robinson,Sherry,Montgomery,ssellers@example.com,0912723239,USA,Chicago,51,Male,4.1,15.0,49.6,16.8,31.0,7.0,23.0,78.19,24.0,30.1,5.4,37.8,9.0,7.0,48.9,30.8,1.0,1924.46,3311.0,1,Q1
79,Samantha Moore,Amber,Smith,joyceromero@example.org,0790273133,USA,Chicago,30,Female,2.2,0.0,13.1,1.0,90.2,0.0,2.0,147.69,5.0,13.6,4.8,6.2,9.0,0.0,0.0,12.8,2.0,329.44,1027.0,1,Q1
80,Kenneth Washington,Thomas,Frazier,mclaughlinrobert@example.net,0396685952,USA,New York,36,Female,3.2,3.0,19.4,5.5,73.5,3.0,8.0,123.26,2.0,17.1,15.7,15.1,1.0,2.0,10.5,6.2,3.0,117.38,2110.0,0,Q3
81,Nathan Carter,Kathleen,Steele,philip92@example.net,0518163258,UK,Glasgow,26,Female,4.4,7.0,33.5,4.5,61.6,0.0,5.0,54.78,86.0,11.5,10.2,19.5,9.0,0.0,31.8,1.3,2.0,293.42,1213.0,1,Q2
82,Jessica Francis,Steve,West,jennifer19@example.com,0888529469,USA,Phoenix,40,Female,2.7,7.0,38.3,10.6,36.4,7.0,14.0,14.26,22.0,25.2,8.4,15.3,6.0,2.0,28.4,25.5,2.0,1855.66,3729.0,0,Q3
83,Thomas Hall,Amanda,Jones,ygardner@example.net,0526997755,France,Toulouse,36,Male,4.9,15.0,26.4,7.9,63.1,0.0,7.0,108.08,45.0,54.3,5.5,11.6,8.0,0.0,7.1,3.3,3.0,685.83,0.0,0,Q1
84,Jessica Tucker,Holly,Pittman,xbush@example.org,0813050092,Australia,Perth,51,Female,0.5,13.0,29.7,6.5,49.6,3.0,16.0,76.12,17.0,77.9,9.0,22.9,5.0,2.0,32.7,21.0,3.0,1012.79,71.0,0,Q1
85,Lori Young,Heather,Mccormick,revans@example.org,0902189079,UK,Leeds,22,Female,3.5,0.0,15.6,6.1,82.4,3.0,9.0,8.03,8.0,36.4,3.5,11.3,8.0,3.0,1.9,5.6,4.0,764.33,0.0,1,Q1
86,Angela Scott,Marcus,Turner,timothy51@example.net,0359167054,USA,Chicago,30,Female,1.6,7.0,32.3,8.1,49.6,6.0,12.0,103.67,48.0,15.3,6.0,36.8,4.0,3.0,41.5,21.9,1.0,1181.91,1938.0,0,Q2
87,Vicki Miller,David,Walton,sstone@example.org,0561630690,UK,Manchester,32,Male,3.3,7.0,32.4,10.7,59.1,4.0,7.0,178.15,12.0,59.8,8.1,22.2,7.0,2.0,27.3,15.8,2.0,1126.46,1335.0,0,Q2
88,Tina Barrera,Brittney,Lopez,emily20@example.org,0770345065,USA,Chicago,52,Female,2.9,5.0,23.8,5.9,71.8,4.0,5.0,200.32,31.0,36.3,9.0,8.4,7.0,1.0,0.0,19.1,1.0,1035.06,1370.0,1,Q3
89,Angie Jackson,Brandon,Mckinney,jbrooks@example.org,0763185144,India,Chennai,33,Male,6.9,15.0,23.1,5.7,46.6,4.0,11.0,186.17,61.0,16.9,3.6,33.3,7.0,1.0,26.0,24.6,1.0,2090.47,1764.0,1,Q3
90,William Morgan,Susan,Decker,chris45@example.net,0346569421,France,Marseille,32,Male,4.6,14.0,39.4,10.1,43.6,5.0,18.0,11.88,15.0,43.7,5.0,35.4,1.0,3.0,48.4,30.0,4.0,2359.73,2841.0,0,Q1
91,Anthony Alexander,Kristine,Sandoval,hmack@example.com,0779035344,Canada,Montreal,42,Female,2.2,24.0,41.6,16.0,21.5,5.0,17.0,6.65,41.0,35.9,5.1,50.6,4.0,4.0,40.1,33.6,4.0,1332.24,2778.0,0,Q3
92,Michelle Leonard,Kevin,Carlson,laurenbutler@example.org,0313593485,USA,Houston,37,Male,0.8,10.0,46.8,12.5,36.2,5.0,16.0,135.32,4.0,36.9,3.4,32.1,4.0,8.0,59.4,37.9,1.0,2126.15,1563.0,0,Q2
93,Brenda Pierce,Jeffrey,Jones,garciaguy@example.org,0878627040,USA,Los Angeles,35,Female,1.5,6.0,11.3,6.3,59.6,2.0,5.0,68.59,27.0,18.6,6.0,0.0,5.0,1.0,0.0,10.8,1.0,314.03,1219.0,1,Q3
94,Tony Atkins,Kelly,Bradshaw,kacosta@example.org,0788459497,Japan,Kyoto,18,Female,0.5,16.0,7.2,5.4,60.0,2.0,6.0,145.42,25.0,41.5,4.9,6.1,5.0,2.0,15.4,13.8,1.0,912.31,1742.0,0,Q2
95,Christina Gomez,Amy,Walker,ann55@example.org,0506478288,Germany,Berlin,54,Male,4.4,18.0,34.6,14.9,33.4,8.0,17.0,67.16,2.0,33.1,7.3,40.4,5.0,4.0,22.0,31.2,3.0,1369.76,1714.0,0,Q2
96,Nicholas Mcclain,Joshua,Robinson,amandastone@example.org,0973574897,USA,New York,27,Male,6.4,12.0,17.6,10.2,76.3,2.0,9.1,77.54,6.0,90.0,1.6,8.0,3.0,2.0,10.8,4.3,1.0,507.65,870.0,0,Q4
97,Benjamin Horne,Pamela,Higgins,matthewsanthony@example.org,0766099506,USA,Houston,37,Female,4.5,18.0,19.0,8.4,44.6,6.0,18.0,123.18,43.0,46.2,8.7,35.6,8.0,2.0,9.9,19.1,5.0,209.8,1791.0,1,Q2
98,Elizabeth Lane,Kimberly,Gonzalez,dgraves@example.net,0959735990,UK,Birmingham,65,Male,3.2,17.0,23.3,10.7,51.4,5.0,15.0,56.56,34.0,14.8,10.9,10.1,2.0,3.0,2.9,21.6,4.0,808.74,2744.0,0,Q3
99,Crystal Clark,Anthony,Ray,theresanelson@example.net,0736765062,USA,Los Angeles,44,Male,0.9,13.0,35.6,11.3,54.9,1.0,12.0,158.62,4.0,76.1,12.0,23.9,3.0,5.0,15.7,24.1,1.0,1886.15,2407.0,0,Q3
100,Timothy Solis,Todd,Good,barrettomar@example.com,0872634815,USA,Phoenix,30,Male,1.1,21.0,24.9,8.2,42.7,11.0,28.6,87.42,37.0,61.8,15.2,28.1,4.0,4.0,5.1,18.4,2.0,2304.11,2179.0,0,Q4
101,Beth Garcia,Anna,Rodriguez,daniel04@example.org,0921370243,India,Chennai,45,Female,0.8,8.0,14.7,3.3,92.6,0.0,5.0,132.34,5.0,75.3,7.9,24.7,6.0,2.0,10.1,10.8,2.0,773.76,749.0,1,Q1
102,Christopher Mitchell,Robert,White,ewalker@example.com,0700081358,France,Marseille,53,Female,6.5,11.0,20.5,5.8,76.2,1.0,5.0,132.06,14.0,38.9,12.1,5.0,6.0,2.0,0.0,21.3,5.0,569.85,2243.0,1,Q3
103,Mary Garrison,Darrell,Peterson,eric19@example.com,0792077465,India,Delhi,25,Female,2.2,10.0,24.8,6.1,65.9,4.0,12.0,106.91,32.0,13.5,1.1,24.5,9.0,3.0,26.8,19.6,3.0,1306.08,2489.0,0,Q1
